Record_ID,Customer_Name,City,State,Region,Category,Sub_Category,Transaction_Date,Quantity,Unit_Price,Discount,Revenue,Profit,Rating,Status
MOV1000,Thomas Shelton,Alyssafurt,Kentucky,West,D,Type1,2024-11-30,11,551.03,0.28,1868.34,1243.9,3.6,Completed
MOV1001,Whitney Gardner,Mercadomouth,Illinois,North,A,Type3,2023-11-08,17,904.66,0.12,5059.41,4426.64,5.0,Cancelled
MOV1002,Jennifer Frederick,New Alyssastad,Pennsylvania,South,C,Type2,2024-01-06,8,341.8,0.01,1985.42,4595.11,5.0,Cancelled
MOV1003,Latoya Marquez,West Cynthia,Louisiana,South,D,Type1,2024-10-28,7,642.25,0.04,8206.74,2746.4,4.4,Pending
MOV1004,Jose Lucas,Herrerachester,California,South,A,Type3,2024-12-28,16,111.88,0.09,4514.85,1132.56,3.1,Cancelled
MOV1005,Stephanie Johnson,South Christinaburgh,Rhode Island,West,A,Type3,2024-05-01,1,987.78,0.04,9925.24,3738.69,1.8,Completed
MOV1006,Katie Martin,South Patrickshire,Maine,East,D,Type1,2024-04-28,10,668.83,0.0,4195.66,4369.46,2.8,Completed
MOV1007,Jamie Mills,Port Jason,Hawaii,South,D,Type2,2024-01-13,9,739.22,0.27,8957.51,4234.21,3.2,Pending
MOV1008,Devin Friedman,Adamstown,Texas,North,C,Type2,2023-08-11,4,525.25,0.09,5524.69,3939.48,3.0,Cancelled
MOV1009,Tami Chavez,Larrybury,Mississippi,West,B,Type2,2025-04-17,15,28.14,0.02,6143.75,4796.25,2.5,Pending
MOV1010,Michael James,Christopherbury,Kentucky,South,B,Type2,2026-03-01,5,902.51,0.08,440.32,1761.05,2.1,Completed
MOV1011,Jonathan Mcknight,Haroldtown,Delaware,West,D,Type3,2024-11-17,10,527.52,0.29,5201.26,2423.81,4.3,Pending
MOV1012,Frank Ayers,Heatherchester,Maryland,West,B,Type1,2024-03-21,13,135.24,0.23,7796.04,4606.3,2.1,Completed
MOV1013,Jennifer Erickson,Wolfeside,Nevada,North,A,Type2,2025-12-29,18,716.32,0.24,4940.22,2271.37,1.5,Cancelled
MOV1014,Brian Hoffman,East Tracy,Minnesota,North,C,Type3,2026-04-18,8,868.7,0.27,2103.68,4541.88,2.7,Completed
MOV1015,Timothy Acosta II,Stephanieside,Arizona,East,B,Type3,2024-03-26,18,816.45,0.19,7465.79,-184.09,3.5,Cancelled
MOV1016,Alexander Cooper,Westbury,Montana,North,C,Type2,2025-11-03,13,513.79,0.2,9038.41,1553.3,2.0,Pending
MOV1017,Angela Robinson,Stokesstad,Idaho,North,B,Type3,2025-12-09,8,194.84,0.27,9803.04,1275.89,4.3,Pending
MOV1018,Brett Sanchez,South Patriciahaven,Florida,South,B,Type3,2025-01-17,12,592.06,0.2,9042.95,4828.17,4.3,Pending
MOV1019,Courtney Davis,Tinafurt,Nevada,South,B,Type2,2024-06-06,4,994.05,,5700.49,2345.61,3.1,Pending
MOV1020,Elizabeth Martinez,Brookshaven,Rhode Island,East,C,Type3,2024-09-24,19,19.04,0.28,3875.83,4371.93,2.9,Cancelled
